ticker,time,price,volume,volume_ratio,momentum_5,momentum_10,entry_signal,pattern,confidence,in_entry_window
SOGP,2026-01-12 05:04:00-05:00,13.21,40,0,2.4031007751938023,12.90598290598292,False,,0,True
SOGP,2026-01-12 05:10:00-05:00,13.46,100,0,4.341085271317833,15.042735042735057,False,,0,True
INBS,2026-01-12 04:33:00-05:00,19.6,102,0,1.0830324909747335,6.2330623306233175,False,,0,True
UP,2026-01-12 06:59:00-05:00,0.71,4,0,1.254991443240148,2.898550724637684,False,,0,False
UP,2026-01-12 07:36:00-05:00,0.74,251,0,5.098707569947456,7.24637681159421,False,,0,True
UP,2026-01-12 07:37:00-05:00,0.7499,1300,0,5.619718309859162,6.975748930099866,False,,0,True
UP,2026-01-12 07:38:00-05:00,0.7405,169,0,5.005672149744752,5.604677695379349,False,,0,True
UP,2026-01-12 07:40:00-05:00,0.7405,2,0,4.2957746478873355,5.409252669039151,False,,0,True
UP,2026-01-12 08:01:00-05:00,0.75,51136,0,1.3513513513513526,6.594656054576463,False,,0,True
UP,2026-01-12 08:02:00-05:00,0.75,200,0,0.01333511134817829,6.518960374946749,False,,0,True
UP,2026-01-12 08:03:00-05:00,0.75,13975,0,1.2829169480080962,5.633802816901413,False,,0,True
UP,2026-01-12 08:04:00-05:00,0.75,2855,0,1.2829169480080962,6.352807714123646,False,,0,True
UP,2026-01-12 08:05:00-05:00,0.75,25070,0,0.0,5.633802816901413,False,,0,True
UP,2026-01-12 08:06:00-05:00,0.758,2600,0,1.0666666666666678,2.4324324324324347,False,,0,True
UP,2026-01-12 08:07:00-05:00,0.758,700,0,1.0666666666666678,1.0801440192025598,False,,0,True
UP,2026-01-12 08:08:00-05:00,0.75,700,0,0.0,1.2829169480080962,False,,0,True
UP,2026-01-12 08:09:00-05:00,0.76,500,0,1.3333333333333344,2.633355840648205,False,,0,True
UP,2026-01-12 08:10:00-05:00,0.7539,10,0,-0.5408970976253288,0.520000000000002,False,,0,True
BDSX,2026-01-12 08:50:00-05:00,6.76,5083,0,-0.44182621502209496,0.7451564828613982,False,,0,False
BDSX,2026-01-12 08:51:00-05:00,6.76,1523,0,0.0,-0.7342143906020533,False,,0,False
BDSX,2026-01-12 08:52:00-05:00,6.81,7574,0,0.2945508100147212,-0.14662756598241458,False,,0,False
BDSX,2026-01-12 08:53:00-05:00,6.8,3164,0,0.740740740740738,0.0,False,,0,False
BDSX,2026-01-12 08:54:00-05:00,6.83,5442,0,1.0355029585798858,0.5891016200294555,False,,0,False
BDSX,2026-01-12 08:55:00-05:00,6.89,12082,0,1.9230769230769214,1.4727540500736325,False,,0,False
BDSX,2026-01-12 08:56:00-05:00,6.93,14619,0,1.7621145374449354,2.514792899408283,False,,0,False
BDSX,2026-01-12 08:57:00-05:00,6.87,18016,0,1.0294117647058865,1.178203240058911,False,,0,False
BDSX,2026-01-12 08:58:00-05:00,6.81,14749,0,-0.29282576866764953,0.8888888888888832,False,,0,False
BDSX,2026-01-12 08:59:00-05:00,6.84,6798,0,-0.7256894049346854,1.1834319526627228,False,,0,False
BDSX,2026-01-12 09:10:00-05:00,6.85,4860,0,0.5873715124816452,0.5873715124816452,False,,0,False
BDSX,2026-01-12 09:11:00-05:00,6.83,10097,0,0.0,0.5891016200294555,False,,0,False
BDSX,2026-01-12 09:12:00-05:00,6.85,3394,0,0.5873715124816452,0.7352941176470562,False,,0,False
BDSX,2026-01-12 09:13:00-05:00,6.81,3869,0,-0.5839416058394167,0.14705882352940863,False,,0,False
BDSX,2026-01-12 09:14:00-05:00,6.81,4253,0,-0.5839416058394167,0.0,False,,0,False
BDSX,2026-01-12 09:15:00-05:00,6.8,4445,0,-0.4392386530014678,-0.14684287812040803,False,,0,False
BDSX,2026-01-12 09:16:00-05:00,6.81,4636,0,-0.5839416058394167,-0.29282576866764953,False,,0,False
BDSX,2026-01-12 09:17:00-05:00,6.8,2335,0,-0.14684287812040803,-0.14684287812040803,False,,0,False
BDSX,2026-01-12 09:18:00-05:00,6.81,5275,0,0.0,-0.5839416058394167,False,,0,False
BDSX,2026-01-12 09:19:00-05:00,6.89,8837,0,1.3235294117647038,0.5839416058394167,False,,0,False
BDSX,2026-01-12 09:20:00-05:00,6.9,4725,0,1.3215859030837114,1.0248901903367538,False,,0,True
BDSX,2026-01-12 09:21:00-05:00,6.92,6617,0,1.764705882352943,1.0218978102189822,False,,0,True
BDSX,2026-01-12 09:22:00-05:00,6.94,16197,0,1.9089574155653568,1.9089574155653568,False,,0,True
BDSX,2026-01-12 09:23:00-05:00,6.92,10250,0,0.4354136429608164,1.6152716593245278,False,,0,True
BDSX,2026-01-12 09:24:00-05:00,6.91,11851,0,0.14492753623188095,1.617647058823534,False,,0,True
BDSX,2026-01-12 09:25:00-05:00,6.92,7728,0,0.0,1.6152716593245278,False,,0,True
BDSX,2026-01-12 09:26:00-05:00,6.93,7324,0,-0.14409221902018263,1.9117647058823513,False,,0,True
BDSX,2026-01-12 09:27:00-05:00,6.9,12603,0,-0.28901734104045623,1.3215859030837114,False,,0,True
BDSX,2026-01-12 09:28:00-05:00,6.94,13498,0,0.4341534008683104,0.7256894049346982,False,,0,True
BDSX,2026-01-12 09:29:00-05:00,6.95,12251,0,0.43352601156069726,0.7246376811594177,False,,0,True
BDSX,2026-01-12 09:30:00-05:00,7.0,35394,0,1.0101010101010142,1.1560693641618507,False,,0,True
